id	smiles	MQN	Emol	Ekat	HOMO	LUMO	I	n
mol2927	OCC1C=CN2C(=O)SC(CO)=C12	[8, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 13, 4, 1, 0, 6, 3, 0, 2, 7, 4, 2, 2, 0, 0, 3, 2, 0, 0, 3, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1]	-988,0705402	-987,8000452	-0,17953	-0,05642	0,270495	4,15
mol2928	CC(CN)(NCC=CC1CC1)C#C	[11, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 13, 8, 1, 1, 3, 0, 0, 5, 2, 2, 3, 2, 0, 0, 3, 6, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-538,70779	-538,4364867	-0,18259	-0,02002	0,2713033	4,63
mol2929	CN(C)CC1=CCN=C2CC=NN12	[9, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 13, 4, 0, 0, 7, 3, 0, 2, 4, 4, 0, 0, 0, 0, 2, 1, 1, 0, 6, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1]	-569,6699248	-569,4213358	-0,16019	-0,05475	0,248589	3,84
mol2930	CNC1C2CN2C2(COC12C)C#C	[10, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 13, 4, 0, 1, 10, 0, 0, 1, 4, 3, 1, 1, 0, 0, 3, 2, 0, 0, 3, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 4, 2]	-573,4028555	-573,1175691	-0,18963	-0,00778	0,2852864	5,08
mol2931	C=CC12NC1C(=O)NN=CC=C2	[8, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 12, 1, 2, 0, 8, 2, 0, 1, 5, 4, 2, 2, 0, 0, 2, 1, 0, 0, 6, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1]	-549,0199941	-548,7271202	-0,19884	-0,1005	0,2928739	3,9
mol2932	CC(=C)OCC12CC1OCCO2	[9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12, 4, 1, 0, 8, 0, 0, 3, 6, 3, 0, 0, 0, 0, 2, 2, 1, 0, 5, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1]	-576,31558	-576,0403545	-0,18735	0,00657	0,2752255	5,03
mol2933	CC1(N)CC2CC1(O)C2(O)CC=C	[10, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 13, 6, 1, 0, 7, 0, 0, 2, 5, 3, 4, 3, 0, 0, 5, 2, 0, 0, 2, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 6, 7]	-595,7490164	-595,4619141	-0,19241	-0,03481	0,2871023	4,72
mol2934	CCC1=C2CCON=C2C2CC12	[10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 12, 2, 0, 0, 10, 2, 0, 1, 3, 2, 0, 0, 0, 0, 1, 1, 0, 0, 5, 5, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 2]	-518,1748281	-517,9008659	-0,1778	-0,06499	0,2739622	4,15
mol2935	CC1(CNC2CN(C2)C1)OC=C	[9, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 12, 3, 1, 0, 9, 0, 0, 2, 4, 3, 1, 1, 0, 0, 2, 2, 0, 0, 5, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 8, 9]	-536,5990751	-536,3467626	-0,15983	-0,00622	0,2523125	4,61
mol2936	CCC1CN=CN=C1N1CC1	[8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 11, 3, 0, 0, 7, 2, 0, 1, 3, 3, 0, 0, 0, 0, 1, 1, 0, 0, 6, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]	-476,3170163	-476,0257485	-0,18867	-0,06793	0,2912678	4,43
