id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol2985	NC1=CC(=O)OCC11NCS1(=O)=O	6	1	13	3	9	1	10	6	5	2	4.17
mol2986	CC(C)=CC1=NC=C(C)C=C1O	10	1	12	1	3	3	3	2	3	3	3.85
mol2987	CCNC1C2NCC2ON=C1C	8	2	12	0	8	1	5	4	4	4	4.67
mol2988	CC(C#N)C1=C(OC=C1Cl)N1CC1	9	1	13	0	6	2	4	3	4	4	4.74
mol2989	CCC(C(O)C#CC)C1CC=NO1	10	1	13	0	4	1	5	3	4	1	4.72
mol2990	CC12NC1CCC(C1CC1)C2C=O	11	1	13	1	11	0	3	2	5	4	4.30
mol2991	OC1C2C3NC(=S)NC23C2CC12O	8	2	13	1	13	0	6	4	3	5	4.36
mol2992	CC1OC2(C=COC2=O)C1C(N)=O	8	0	13	2	8	1	9	5	4	3	4.30
mol2993	CNC1(C)CC(N)C2CC12C=NO	9	0	13	1	7	0	5	4	2	2	4.38
mol2994	CC1C2=NOC3C4CCC13C(C4)O2	10	1	13	0	14	1	5	3	6	5	3.62
mol2995	CC=CC1(CNCC#CC=C)CC1	12	0	13	2	3	0	1	1	2	0	3.95
mol2996	CCOC(CCC1=CSN=C1)C#N	9	1	13	0	3	2	4	3	4	1	4.41
mol2997	CC12CC3C(N1)C2(O)C(=C)CC3=C	11	1	13	2	11	0	3	2	3	4	4.44
mol2998	CC12NC3C1CC1OC(C21)C3(C)N	10	1	13	0	13	0	4	3	3	5	5.27
mol2999	CCC1C2C=NNC=C2C(=O)N1O	8	3	13	1	8	2	7	5	4	5	4.04
mol3000	CC(N)C1C=C(C)OC2=C1NC=C2	10	1	13	0	7	3	4	3	5	4	4.56
mol3001	CC#CC(=O)C=C(N)N(C)C	8	0	11	2	0	0	4	3	0	0	4.07
mol3002	CC12NC1C1NCCNC2C1C#N	9	3	13	0	12	0	4	4	5	4	4.97
mol3003	O=C1N=CN=C2SN=C(C3CC3)N12	7	4	13	1	8	5	6	5	7	5	3.98
mol3004	CC12COC3(OCC4CC34N1)C2N	9	1	13	0	14	0	6	4	6	2	5.30
mol3005	C=CC1=COC(=C)CCN=CN1	9	2	12	2	7	2	4	3	7	2	3.83
mol3006	CC1(CC=CCN)CC2CC1O2	10	0	12	1	7	0	3	2	3	2	4.79
mol3007	O=CCCC12CCN1C(=O)OC2	8	1	12	2	8	0	7	4	4	2	4.55
mol3008	CNN=CC=C1CCCC1C=NN	9	0	13	3	5	0	4	4	3	2	3.79
mol3009	CC(N)C1=CC2NC1C(=C)C2=C	10	1	12	2	7	1	2	2	2	5	4.33
mol3010	CNC12CC3N=C4NC3C1OC4=C2	9	2	13	0	12	2	5	4	5	5	3.20
mol3011	C=CC=CCC1=CC=C2N=CON12	10	2	13	2	5	4	4	3	5	3	3.90
mol3012	CC=C(C1CN1)N(C)S(=O)(=O)NO	6	1	13	3	3	0	9	6	2	1	4.43
mol3013	CCON(C(N)=O)C(C)(CN)C=C	8	0	13	2	0	0	7	5	0	0	4.63
mol3014	CCC1(C)C(CNCC1=C)C(O)=O	10	1	13	2	6	0	5	3	3	2	4.83
mol3015	CC1(O)C2OCC3C(CCC13N)O2	9	0	13	0	12	0	7	4	5	3	5.43
mol3016	CC(C=CCN)C1(O)CNC1C=C	10	1	13	2	4	0	4	3	2	1	4.44
mol3017	CC1CCC(=CCCN1)C(N)CN	10	1	13	0	7	1	3	3	6	2	4.47
mol3018	CC1N2CC3C(=C)C(O)C2C13C#C	11	1	13	1	10	0	3	2	1	6	4.61
mol3019	CC1=CCC2(C#N)C3CC1C(=O)C23	11	0	13	1	10	1	3	2	3	5	4.46
mol3020	NCC12CC3C1C1(CN2)CC3C=C1	11	1	13	0	13	1	2	2	6	3	4.45
mol3021	C=C1C2COCC11CCC(C1)NC2	11	1	13	1	14	0	3	2	8	3	4.78
mol3022	CN=CN1OCC2CC1CCO2	8	1	12	1	10	0	6	4	6	3	4.61
mol3023	CC(C)NC(C=C)C(C)(CO)CO	10	0	13	1	0	0	5	3	0	0	4.71
mol3024	CC1C2C3C(CN)C3OC(=O)NN12	8	2	13	1	11	0	7	5	2	7	4.89
mol3025	CCC1=CC(C)C(=NC)N(O)C=C1	10	1	13	1	5	2	4	3	3	4	3.84
mol3026	CC(=O)C=C1CN2N(O1)C=CC2=N	8	2	13	3	7	2	7	5	4	4	2.55
mol3027	C=CC=CC1CCN(C1)C(=O)C#N	10	1	13	3	5	0	4	3	3	2	4.12
mol3028	CC=C1C(C)NC2CCNCC=C12	11	2	13	1	10	1	2	2	6	4	3.90
mol3029	CC=CC1=CC2CC1(CC#N)C2C	12	0	13	1	6	1	1	1	2	3	4.05
mol3030	CCC1(NC2CCC1C2)C1CC1	11	1	12	0	11	0	1	1	6	3	5.82
mol3031	CC1(CCC2=C(N)CNN=C12)C#N	9	2	13	0	8	2	4	4	5	3	4.02
mol3032	CC1C=CC(=O)CCC(=NO)N1O	8	1	13	2	7	1	8	5	4	4	4.10
mol3033	CC1CNC2C(O)C3OC2C1(C)O3	9	1	13	0	12	0	7	4	4	5	3.09
mol3034	CC(O)C1NCC2=COC=C2C1=O	9	1	13	1	8	2	7	4	5	4	4.06
mol3035	CC1C(C#N)C(=O)C(=O)C1(C)C	9	0	12	2	5	0	5	3	0	4	3.73
mol3036	CCCNN1C=C(C)C(=O)N1O	7	2	12	1	3	2	7	5	1	4	4.48
